%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1753722633728859500,158753,1753722633728859500,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006658041330482293,-0.024745975295887342,0.0039832295679021155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27370998204742436,0.25219909766662607,10.26831827975403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633733878901,158754,1753722633733878901,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047341555074339944,-0.025593707044237694,0.004351427360777651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31588845312927255,0.3733207421182252,10.371922209063724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633738837443,158755,1753722633738837443,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008896361426890587,-0.024729342660984685,0.003968634652704898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3358739916323853,0.46393175800354014,10.272979371401064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633743888745,158756,1753722633743888745,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014341414795682175,-0.024830942154971607,0.003613696160724594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2983665481344605,0.4344155012417603,10.167693096439821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633748834757,158757,1753722633748834757,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024157235704554778,-0.026352295616879753,0.003994491499977159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35058570242858894,0.32178333674682624,10.142793698449404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633753922978,158758,1753722633753922978,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02007212418646894,-0.025993100106504907,0.003948354297775064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41421526270477305,0.23403488822143562,10.30470002948639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633758014921,158759,1753722633758014921,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008976740390321208,-0.024310653805387893,0.003445416828851572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3732348501336671,0.17249438860382083,10.482202728833009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633763108481,158760,1753722633763108481,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012890356610979092,-0.022433123079322072,0.0031080672877545046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4217771092282105,0.19593236590087895,10.397385022559817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633767904403,158761,1753722633767904403,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023196856389834312,-0.020226615620849875,0.0029335981300831603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48720501422637946,0.2233822470648194,10.345052802092287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633772898815,158762,1753722633772898815,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029528467128769904,-0.017468729455703953,0.0029704263830566176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44599817003326425,0.319635139307251,10.251758724116518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
